"serialnumber","aep_usage_dt","aep_channel_id","aep_raw_uom","endtimeperiod","starttimeperiod","value","aep_raw_value","scalarfloat","aep_derived_uom","name_register","aep_srvc_qlty_idntfr","aep_sec_per_intrvl","aep_premise_nb","aep_service_point","aep_srvc_dlvry_id","aep_devicecode","aep_meter_program","aep_acct_cls_cd","aep_acct_type_cd","aep_mtr_pnt_nb","aep_tarf_pnt_nb","aep_endtime_utc","aep_city","aep_zip","aep_state","authority","timezoneoffset","aep_meter_bucket","hdp_update_user"
"640301800","2026-03-23","102","kwh(rec)","2026-03-24T00:00:00-04:00","2026-03-23T23:45:00-04:00",,"0.0",,"KWH","E-KWH-15-REC","RECEIVED","900.0","102276279","102276279-8617-4470","00040621068243045","NMD06",,,,,"8617","1774324800",,,,,"-04:00","00","info-update"
"640301800","2026-03-23","103","kwh","2026-03-24T00:00:00-04:00","2026-03-23T23:45:00-04:00",,"0.106",,"KWH","E-KWH-15-TOT","TOTAL","900.0","102276279","102276279-8617-4470","00040621068243045","NMD06",,,,,"8617","1774324800",,,,,"-04:00","00","info-update"
"640301800","2026-03-23","109","kvah","2026-03-24T00:00:00-04:00","2026-03-23T23:45:00-04:00",,"0.0",,"KVAH","E-KVAH-15-DEL","DELIVERED","900.0","102276279","102276279-8617-4470","00040621068243045","NMD06",,,,,"8617","1774324800",,,,,"-04:00","00","info-update"
"640301800","2026-03-23","120","vavga-n","2026-03-24T00:00:00-04:00","2026-03-23T23:45:00-04:00","246.8","246.8",,"VOLT","E-VOLTAGE-15-AVG-A","AVG","900.0","102276279","102276279-8617-4470","00040621068243045","NMD06",,,,,"8617","1774324800",,,,,"-04:00","00","info-update"
"875525200","2026-03-23","102","kwh(rec)","2026-03-24T00:00:00-04:00","2026-03-23T23:45:00-04:00",,"0.0",,"KWH","E-KWH-15-REC","RECEIVED","900.0","103399100","103399100-0081-6737","00040621097285155","NMD06",,,,,"0081","1774324800",,,,,"-04:00","00","info-update"
"875525200","2026-03-23","103","kwh","2026-03-24T00:00:00-04:00","2026-03-23T23:45:00-04:00",,"0.304",,"KWH","E-KWH-15-TOT","TOTAL","900.0","103399100","103399100-0081-6737","00040621097285155","NMD06",,,,,"0081","1774324800",,,,,"-04:00","00","info-update"
"875525200","2026-03-23","109","kvah","2026-03-24T00:00:00-04:00","2026-03-23T23:45:00-04:00",,"0.3245",,"KVAH","E-KVAH-15-DEL","DELIVERED","900.0","103399100","103399100-0081-6737","00040621097285155","NMD06",,,,,"0081","1774324800",,,,,"-04:00","00","info-update"
"875525200","2026-03-23","120","vavga-n","2026-03-24T00:00:00-04:00","2026-03-23T23:45:00-04:00","249.9","249.9",,"VOLT","E-VOLTAGE-15-AVG-A","AVG","900.0","103399100","103399100-0081-6737","00040621097285155","NMD06",,,,,"0081","1774324800",,,,,"-04:00","00","info-update"
"875526800","2026-03-23","102","kwh(rec)","2026-03-24T00:00:00-04:00","2026-03-23T23:45:00-04:00",,"0.0",,"KWH","E-KWH-15-REC","RECEIVED","900.0","105102926","105102926-5261-0498","00040621009341834","NMD06",,,,,"5261","1774324800",,,,,"-04:00","00","info-update"
"875526800","2026-03-23","103","kwh","2026-03-24T00:00:00-04:00","2026-03-23T23:45:00-04:00",,"0.032",,"KWH","E-KWH-15-TOT","TOTAL","900.0","105102926","105102926-5261-0498","00040621009341834","NMD06",,,,,"5261","1774324800",,,,,"-04:00","00","info-update"
"875526800","2026-03-23","109","kvah","2026-03-24T00:00:00-04:00","2026-03-23T23:45:00-04:00",,"0.0345",,"KVAH","E-KVAH-15-DEL","DELIVERED","900.0","105102926","105102926-5261-0498","00040621009341834","NMD06",,,,,"5261","1774324800",,,,,"-04:00","00","info-update"
"875526800","2026-03-23","120","vavga-n","2026-03-24T00:00:00-04:00","2026-03-23T23:45:00-04:00","247.3","247.3",,"VOLT","E-VOLTAGE-15-AVG-A","AVG","900.0","105102926","105102926-5261-0498","00040621009341834","NMD06",,,,,"5261","1774324800",,,,,"-04:00","00","info-update"
"875542700","2026-03-23","102","kwh(rec)","2026-03-24T00:00:00-04:00","2026-03-23T23:45:00-04:00",,"0.0",,"KWH","E-KWH-15-REC","RECEIVED","900.0","105285400","105285400-0001-0001","00040621038492372","NMD06",,,,,"0001","1774324800",,,,,"-04:00","00","info-update"
"875542700","2026-03-23","103","kwh","2026-03-24T00:00:00-04:00","2026-03-23T23:45:00-04:00",,"0.104",,"KWH","E-KWH-15-TOT","TOTAL","900.0","105285400","105285400-0001-0001","00040621038492372","NMD06",,,,,"0001","1774324800",,,,,"-04:00","00","info-update"
