"serialnumber","aep_usage_dt","aep_channel_id","aep_raw_uom","endtimeperiod","starttimeperiod","value","aep_raw_value","scalarfloat","aep_derived_uom","name_register","aep_srvc_qlty_idntfr","aep_sec_per_intrvl","aep_premise_nb","aep_service_point","aep_srvc_dlvry_id","aep_devicecode","aep_meter_program","aep_acct_cls_cd","aep_acct_type_cd","aep_mtr_pnt_nb","aep_tarf_pnt_nb","aep_endtime_utc","aep_city","aep_zip","aep_state","authority","timezoneoffset","aep_meter_bucket","hdp_update_user"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T00:15:00-04:00","2026-03-23T00:00:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774239300","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T00:30:00-04:00","2026-03-23T00:15:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774240200","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T00:45:00-04:00","2026-03-23T00:30:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774241100","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T01:00:00-04:00","2026-03-23T00:45:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774242000","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T01:15:00-04:00","2026-03-23T01:00:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774242900","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T01:30:00-04:00","2026-03-23T01:15:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774243800","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T01:45:00-04:00","2026-03-23T01:30:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774244700","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T02:00:00-04:00","2026-03-23T01:45:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774245600","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T02:15:00-04:00","2026-03-23T02:00:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774246500","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T02:30:00-04:00","2026-03-23T02:15:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774247400","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
